French,English
partie,part
demande,request
mois,month
frère,brother
laisser,let
car,because
aucun,no
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
pendant,while
revoir,meet again
aucune,any
parle,speak
attention,Warning
voici,here is
pourrais,could
type,type
donné,given
train,train
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
première,first
côté,side
pouvoir,power
vieux,old
sois,be
enfant,child
point,point
venu,came
suite,after
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
gros,large
aura,will have
